CustomerID,LookalikeCustomerID,SimilarityScore
C0001,C0112,0.8906078284823581
C0001,C0091,0.8645593388185548
C0001,C0120,0.8580492620099549
C0002,C0134,0.9705248767863234
C0002,C0159,0.9410505183809481
C0002,C0106,0.9259983881762467
C0003,C0031,0.9889548463118164
C0003,C0129,0.9273915357692933
C0003,C0158,0.8955991003848132
C0004,C0113,0.9472935905158187
C0004,C0104,0.904775055788505
C0004,C0102,0.8176600968583614
C0005,C0007,0.9954721608061243
C0005,C0140,0.9143163212732547
C0005,C0186,0.7692377440327259
C0006,C0187,0.9044923309612115
C0006,C0137,0.8569876596255628
C0006,C0126,0.8077056518322094
C0007,C0005,0.9954721608061243
C0007,C0140,0.8939171173300222
C0007,C0186,0.7432647848013987
C0008,C0194,0.8537147212462111
C0008,C0098,0.8527043336217521
C0008,C0059,0.8464492505928135
C0009,C0198,0.8647331414652802
C0009,C0010,0.8264985510761735
C0009,C0062,0.8199492598261519
C0010,C0061,0.9777756728287779
C0010,C0062,0.8678840367981027
C0010,C0009,0.8264985510761735
C0011,C0153,0.9041993246846023
C0011,C0171,0.8879672182812905
C0011,C0174,0.88768703186985
C0012,C0187,0.8264587035258566
C0012,C0039,0.8161610451847174
C0012,C0163,0.764307922721536
C0013,C0087,0.8227832504047002
C0013,C0099,0.7745419079704055
C0013,C0048,0.7510100385546584
C0014,C0089,0.9647755092567885
C0014,C0060,0.879917148751857
C0014,C0151,0.7879097687977935
C0015,C0131,0.8411773161629293
C0015,C0036,0.8138547098287504
C0015,C0185,0.7681179270911817
C0016,C0183,0.9997292491187343
C0016,C0067,0.9116531915978819
C0016,C0072,0.9030170893829439
C0017,C0075,0.9386620959161913
C0017,C0041,0.9291217372497985
C0017,C0057,0.8741692986249043
C0018,C0035,0.8656700916561655
C0018,C0194,0.8533875719605531
C0018,C0154,0.8328313305961639
C0019,C0070,0.9160615843543628
C0019,C0064,0.8467400134758427
C0019,C0121,0.8325585021543542
C0020,C0050,0.8801590768593933
C0020,C0035,0.8064535080846336
C0020,C0026,0.7815989494864146
